Any cancer	Any cancer
Any cancer/Solid tumor/Pancreatic Cancer/Undifferentiated Carcinoma of the Pancreas	Undifferentiated Carcinoma of the Pancreas
Any cancer/Solid tumor/Pancreatic Cancer/Undifferentiated Carcinoma of the Pancreatic Cancer/Osteoclastic Giant Cell Tumor	Osteoclastic Giant Cell Tumor
Any cancer/Solid tumor/Pancreatic Cancer/Undifferentiated Carcinoma of the Pancreatic Cancer	Undifferentiated Carcinoma of the Pancreatic Cancer
Any cancer/Solid tumor/Penile Cancer	Penile Cancer
Any cancer/Solid tumor/Penile Cancer/Penile Squamous Cell Carcinoma/Basaloid Penile Squamous Cell Carcinoma	Basaloid Penile Squamous Cell Carcinoma
Any cancer/Solid tumor/Penile Cancer/Penile Squamous Cell Carcinoma	Penile Squamous Cell Carcinoma
Any cancer/Solid tumor/Penile Cancer/Penile Squamous Cell Carcinoma/Verrucous Penile Squamous Cell Carcinoma	Verrucous Penile Squamous Cell Carcinoma
Any cancer/Solid tumor/Penile Cancer/Penile Squamous Cell Carcinoma/Warty Penile Squamous Cell Carcinoma	Warty Penile Squamous Cell Carcinoma
Any cancer/Solid tumor/Peripheral Nervous System Cancer/Ganglioneuroblastoma	Ganglioneuroblastoma
Any cancer/Solid tumor/Peripheral Nervous System Cancer/Ganglioneuroma	Ganglioneuroma
Any cancer/Solid tumor/Peripheral Nervous System Cancer/Nerve Sheath Tumor/Malignant Peripheral Nerve Sheath Tumor	Malignant Peripheral Nerve Sheath Tumor
Any cancer/Solid tumor/Peripheral Nervous System Cancer/Nerve Sheath Tumor	Nerve Sheath Tumor
Any cancer/Solid tumor/Peripheral Nervous System Cancer/Nerve Sheath Tumor/Neurofibroma	Neurofibroma
Any cancer/Solid tumor/Peripheral Nervous System Cancer/Nerve Sheath Tumor/Schwannoma/Cellular Schwannoma	Cellular Schwannoma
Any cancer/Solid tumor/Peripheral Nervous System Cancer/Nerve Sheath Tumor/Schwannoma/Melanotic Schwannoma	Melanotic Schwannoma
Any cancer/Solid tumor/Peripheral Nervous System Cancer/Nerve Sheath Tumor/Schwannoma	Schwannoma
Any cancer/Solid tumor/Peripheral Nervous System Cancer/Neuroblastoma	Neuroblastoma
Any cancer/Solid tumor/Peripheral Nervous System Cancer	Peripheral Nervous System Cancer
Any cancer/Solid tumor/Peritoneal Cancer	Peritoneal Cancer
Any cancer/Solid tumor/Peritoneal Cancer/Peritoneal Mesothelioma	Peritoneal Mesothelioma
Any cancer/Solid tumor/Peritoneal Cancer/Peritoneal Serous Carcinoma	Peritoneal Serous Carcinoma
Any cancer/Solid tumor/Pleural Cancer	Pleural Cancer
Any cancer/Solid tumor/Pleural Cancer/Pleural Mesothelioma	Pleural Mesothelioma
Any cancer/Solid tumor/Pleural Cancer/Pleural Mesothelioma/Pleural Mesothelioma, Biphasic Type	Pleural Mesothelioma, Biphasic Type
Any cancer/Solid tumor/Pleural Cancer/Pleural Mesothelioma/Pleural Mesothelioma, Epithelioid Type	Pleural Mesothelioma, Epithelioid Type
Any cancer/Solid tumor/Pleural Cancer/Pleural Mesothelioma/Pleural Mesothelioma, Sarcomatoid Type	Pleural Mesothelioma, Sarcomatoid Type
Any cancer/Solid tumor/Prostate Cancer/Prostate Adenocarcinoma	Prostate Adenocarcinoma
Any cancer/Solid tumor/Prostate Cancer	Prostate Cancer
Any cancer/Solid tumor/Prostate Cancer/Prostate Neuroendocrine Carcinoma	Prostate Neuroendocrine Carcinoma
Any cancer/Solid tumor/Prostate Cancer/Prostate Small Cell Carcinoma	Prostate Small Cell Carcinoma
Any cancer/Solid tumor/Prostate Cancer/Prostate Squamous Cell Carcinoma	Prostate Squamous Cell Carcinoma
Any cancer/Solid tumor/Skin Cancer/Aggressive Digital Papillary Adenocarcinoma	Aggressive Digital Papillary Adenocarcinoma
Any cancer/Solid tumor/Skin Cancer/Atypical Fibroxanthoma	Atypical Fibroxanthoma
Any cancer/Solid tumor/Skin Cancer/Atypical Nevus	Atypical Nevus
Any cancer/Solid tumor/Skin Cancer/Basal Cell Carcinoma	Basal Cell Carcinoma
Any cancer/Solid tumor/Skin Cancer/Cutaneous Squamous Cell Carcinoma	Cutaneous Squamous Cell Carcinoma
Any cancer/Solid tumor/Skin Cancer/Dermatofibroma	Dermatofibroma
Any cancer/Solid tumor/Skin Cancer/Dermatofibrosarcoma Protuberans	Dermatofibrosarcoma Protuberans
Any cancer/Solid tumor/Skin Cancer/Desmoplastic Trichoepithelioma	Desmoplastic Trichoepithelioma
Any cancer/Solid tumor/Skin Cancer/Endocrine Mucin Producing Sweat Gland Carcinoma	Endocrine Mucin Producing Sweat Gland Carcinoma
Any cancer/Solid tumor/Skin Cancer/Extramammary Paget Disease	Extramammary Paget Disease
Any cancer/Solid tumor/Skin Cancer/Melanoma/Acral Melanoma	Acral Melanoma
Any cancer/Solid tumor/Skin Cancer/Melanoma/Congenital Nevus	Congenital Nevus
Any cancer/Solid tumor/Skin Cancer/Melanoma/Cutaneous Melanoma	Cutaneous Melanoma
Any cancer/Solid tumor/Skin Cancer/Melanoma/Desmoplastic Melanoma	Desmoplastic Melanoma
Any cancer/Solid tumor/Skin Cancer/Melanoma/Lentigo Maligna Melanoma	Lentigo Maligna Melanoma
Any cancer/Solid tumor/Skin Cancer/Melanoma	Melanoma
Any cancer/Solid tumor/Skin Cancer/Melanoma/Melanoma of Unknown Primary	Melanoma of Unknown Primary
Any cancer/Solid tumor/Skin Cancer/Melanoma/Spitzoid Melanoma	Spitzoid Melanoma
Any cancer/Solid tumor/Skin Cancer/Merkel Cell Carcinoma	Merkel Cell Carcinoma
Any cancer/Solid tumor/Skin Cancer/Microcystic Adnexal Carcinoma	Microcystic Adnexal Carcinoma
Any cancer/Solid tumor/Skin Cancer/Porocarcinoma	Porocarcinoma
Any cancer/Solid tumor/Skin Cancer/Porocarcinoma/Spiroadenocarcinoma	Spiroadenocarcinoma
Any cancer/Solid tumor/Skin Cancer/Poroma/Acrospiroma	Acrospiroma
Any cancer/Solid tumor/Skin Cancer/Poroma	Poroma
Any cancer/Solid tumor/Skin Cancer/Porphyria Cutania Tarda	Porphyria Cutania Tarda
Any cancer/Solid tumor/Skin Cancer/Proliferating Pilar Cystic Tumor	Proliferating Pilar Cystic Tumor
Any cancer/Solid tumor/Skin Cancer/Sebaceous Carcinoma	Sebaceous Carcinoma
Any cancer/Solid tumor/Skin Cancer/Skin Adnexal Carcinoma	Skin Adnexal Carcinoma
Any cancer/Solid tumor/Skin Cancer	Skin Cancer
Any cancer/Solid tumor/Skin Cancer/Spiroma/Spiradenoma	Spiradenoma
Any cancer/Solid tumor/Skin Cancer/Spiroma	Spiroma
Any cancer/Solid tumor/Skin Cancer/Sweat Gland Adenocarcinoma	Sweat Gland Adenocarcinoma
Any cancer/Solid tumor/Skin Cancer/Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma	Apocrine Eccrine Carcinoma
Any cancer/Solid tumor/Skin Cancer/Sweat Gland Carcinoma	Sweat Gland Carcinoma
Any cancer/Solid tumor/Soft Tissue Cancer/Aggressive Angiomyxoma	Aggressive Angiomyxoma
Any cancer/Solid tumor/Soft Tissue Cancer/Alveolar Soft Part Sarcoma	Alveolar Soft Part Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Angiomatoid Fibrous Histiocytoma	Angiomatoid Fibrous Histiocytoma
Any cancer/Solid tumor/Soft Tissue Cancer/Angiosarcoma	Angiosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Clear Cell Sarcoma	Clear Cell Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Dendritic Cell Sarcoma	Dendritic Cell Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Dendritic Cell Sarcoma/Histiocytic Dendritic Cell Sarcoma	Histiocytic Dendritic Cell Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Desmoid/Aggressive Fibromatosis	Aggressive Fibromatosis
Any cancer/Solid tumor/Soft Tissue Cancer/Desmoid	Desmoid
Any cancer/Solid tumor/Soft Tissue Cancer/Desmoplastic Small-Round-Cell Tumor	Desmoplastic Small-Round-Cell Tumor
Any cancer/Solid tumor/Soft Tissue Cancer/Epithelioid Hemangioendothelioma	Epithelioid Hemangioendothelioma
Any cancer/Solid tumor/Soft Tissue Cancer/Epithelioid Sarcoma	Epithelioid Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Epithelioid Sarcoma/Proximal-Type Epithelioid Sarcoma	Proximal-Type Epithelioid Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Ewing Sarcoma of Soft Solid tumor	Ewing Sarcoma of Soft Solid tumor
Any cancer/Solid tumor/Soft Tissue Cancer/Fibrosarcoma	Fibrosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Fibrosarcoma/Sclerosing Epithelioid Fibrosarcoma	Sclerosing Epithelioid Fibrosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Gastrointestinal Stromal Tumor	Gastrointestinal Stromal Tumor
Any cancer/Solid tumor/Soft Tissue Cancer/Glomangiosarcoma	Glomangiosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Hemangioma	Hemangioma
Any cancer/Solid tumor/Soft Tissue Cancer/Infantile Fibrosarcoma	Infantile Fibrosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Inflammatory Myofibroblastic Tumor	Inflammatory Myofibroblastic Tumor
Any cancer/Solid tumor/Soft Tissue Cancer/Intimal Sarcoma	Intimal Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Leiomyoma	Leiomyoma
Any cancer/Solid tumor/Soft Tissue Cancer/Leiomyosarcoma	Leiomyosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Liposarcoma/Dedifferentiated Liposarcoma	Dedifferentiated Liposarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Liposarcoma	Liposarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Liposarcoma/Myxoid	Myxoid
Any cancer/Solid tumor/Soft Tissue Cancer/Liposarcoma/Myxoid/Round-Cell Liposarcoma	Round-Cell Liposarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Liposarcoma/Pleomorphic Liposarcoma	Pleomorphic Liposarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Liposarcoma/Well-Differentiated Liposarcoma	Well-Differentiated Liposarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Low-Grade Fibromyxoid Sarcoma	Low-Grade Fibromyxoid Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Malignant Glomus Tumor	Malignant Glomus Tumor
Any cancer/Solid tumor/Soft Tissue Cancer/Myofibroma	Myofibroma
Any cancer/Solid tumor/Soft Tissue Cancer/Myofibromatosis	Myofibromatosis
Any cancer/Solid tumor/Soft Tissue Cancer/Myopericytoma	Myopericytoma
Any cancer/Solid tumor/Soft Tissue Cancer/Myxofibrosarcoma	Myxofibrosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Myxoma	Myxoma
Any cancer/Solid tumor/Soft Tissue Cancer/Myxoma/Ossifying Fibromyxoid Tumor	Ossifying Fibromyxoid Tumor
Any cancer/Solid tumor/Soft Tissue Cancer/Paraganglioma	Paraganglioma
Any cancer/Solid tumor/Soft Tissue Cancer/Perivascular Epithelioid Cell Tumor	Perivascular Epithelioid Cell Tumor
Any cancer/Solid tumor/Soft Tissue Cancer/Pseudomyogenic Hemangioendothelioma	Pseudomyogenic Hemangioendothelioma
Any cancer/Solid tumor/Soft Tissue Cancer/Radiation-Associated Sarcoma	Radiation-Associated Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Rhabdomyosarcoma/Alveolar Rhabdomyosarcoma	Alveolar Rhabdomyosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Rhabdomyosarcoma/Embryonal Rhabdomyosarcoma	Embryonal Rhabdomyosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Rhabdomyosarcoma/Pleomorphic Rhabdomyosarcoma	Pleomorphic Rhabdomyosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Rhabdomyosarcoma	Rhabdomyosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Rhabdomyosarcoma/Spindle Cell Rhabdomyosarcoma	Spindle Cell Rhabdomyosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Rhabdomyosarcoma/Spindle Cell/Sclerosing Rhabdomyosarcoma	Sclerosing Rhabdomyosarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Rhabdomyosarcoma/Spindle Cell	Spindle Cell
Any cancer/Solid tumor/Soft Tissue Cancer/Round Cell Sarcoma, NOS	Round Cell Sarcoma, NOS
Any cancer/Solid tumor/Soft Tissue Cancer/Sarcoma, NOS	Sarcoma, NOS
Any cancer/Solid tumor/Soft Tissue Cancer/Soft Solid tumor Myoepithelial Carcinoma	Soft Solid tumor Myoepithelial Carcinoma
Any cancer/Solid tumor/Soft Tissue Cancer	Soft Tissue Cancer
Any cancer/Solid tumor/Soft Tissue Cancer/Solitary Fibrous Tumor/Hemangiopericytoma	Hemangiopericytoma
Any cancer/Solid tumor/Soft Tissue Cancer/Solitary Fibrous Tumor	Solitary Fibrous Tumor
Any cancer/Solid tumor/Soft Tissue Cancer/Synovial Sarcoma	Synovial Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Tenosynovial Giant Cell Tumor Diffuse Type	Tenosynovial Giant Cell Tumor Diffuse Type
Any cancer/Solid tumor/Soft Tissue Cancer/Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	High-Grade Spindle Cell Sarcoma
Any cancer/Solid tumor/Soft Tissue Cancer/Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma	Malignant Fibrous Histiocytoma
Any cancer/Solid tumor/Soft Tissue Cancer/Undifferentiated Pleomorphic Sarcoma	Undifferentiated Pleomorphic Sarcoma
Any cancer/Solid tumor	Solid tumor
Any cancer/Solid tumor/Testicular Cancer/Non-Seminomatous Germ Cell Tumor/Choriocarcinoma	Choriocarcinoma
Any cancer/Solid tumor/Testicular Cancer/Non-Seminomatous Germ Cell Tumor/Embryonal Carcinoma	Embryonal Carcinoma
Any cancer/Solid tumor/Testicular Cancer/Non-Seminomatous Germ Cell Tumor/Germ Cell Tumor with Somatic-Type Malignancy	Germ Cell Tumor with Somatic-Type Malignancy
Any cancer/Solid tumor/Testicular Cancer/Non-Seminomatous Germ Cell Tumor/Mixed Germ Cell Tumor	Mixed Germ Cell Tumor
Any cancer/Solid tumor/Testicular Cancer/Non-Seminomatous Germ Cell Tumor	Non-Seminomatous Germ Cell Tumor
Any cancer/Solid tumor/Testicular Cancer/Non-Seminomatous Germ Cell Tumor/Teratoma	Teratoma
Any cancer/Solid tumor/Testicular Cancer/Non-Seminomatous Germ Cell Tumor/Yolk Sac Tumor	Yolk Sac Tumor
Any cancer/Solid tumor/Testicular Cancer/Seminoma	Seminoma
Any cancer/Solid tumor/Testicular Cancer/Sex Cord Stromal Tumor	Sex Cord Stromal Tumor
Any cancer/Solid tumor/Testicular Cancer	Testicular Cancer
Any cancer/Solid tumor/Testicular Cancer/Testicular Lymphoma	Testicular Lymphoma
Any cancer/Solid tumor/Testicular Cancer/Testicular Mesothelioma	Testicular Mesothelioma
Any cancer/Solid tumor/Thymic Cancer	Thymic Cancer
Any cancer/Solid tumor/Thymic Cancer/Thymic Epithelial Tumor/Thymic Carcinoma	Thymic Carcinoma
Any cancer/Solid tumor/Thymic Cancer/Thymic Epithelial Tumor	Thymic Epithelial Tumor
Any cancer/Solid tumor/Thymic Cancer/Thymic Epithelial Tumor/Thymoma	Thymoma
Any cancer/Solid tumor/Thymic Cancer/Thymic Neuroendocrine Tumor	Thymic Neuroendocrine Tumor
Any cancer/Solid tumor/Thyroid Cancer/Anaplastic Thyroid Cancer	Anaplastic Thyroid Cancer
Any cancer/Solid tumor/Thyroid Cancer/Hurthle Cell Thyroid Cancer	Hurthle Cell Thyroid Cancer
Any cancer/Solid tumor/Thyroid Cancer/Hyalinizing Trabecular Adenoma of the Thyroid	Hyalinizing Trabecular Adenoma of the Thyroid
Any cancer/Solid tumor/Thyroid Cancer/Medullary Thyroid Cancer	Medullary Thyroid Cancer
Any cancer/Solid tumor/Thyroid Cancer/Oncocytic Adenoma of the Thyroid	Oncocytic Adenoma of the Thyroid
Any cancer/Solid tumor/Thyroid Cancer/Poorly Differentiated Thyroid Cancer	Poorly Differentiated Thyroid Cancer
Any cancer/Solid tumor/Thyroid Cancer	Thyroid Cancer
Any cancer/Solid tumor/Thyroid Cancer/Well-Differentiated Thyroid Cancer/Follicular Thyroid Cancer	Follicular Thyroid Cancer
Any cancer/Solid tumor/Thyroid Cancer/Well-Differentiated Thyroid Cancer/Papillary Thyroid Cancer	Papillary Thyroid Cancer
Any cancer/Solid tumor/Thyroid Cancer/Well-Differentiated Thyroid Cancer	Well-Differentiated Thyroid Cancer
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma	Endometrial Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Poorly Differentiated Carcinoma of the Uterus	Poorly Differentiated Carcinoma of the Uterus
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Adenosquamous Carcinoma	Uterine Adenosquamous Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Carcinosarcoma	Uterine Carcinosarcoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	Uterine Malignant Mixed Mullerian Tumor
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Clear Cell Carcinoma	Uterine Clear Cell Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Dedifferentiated Carcinoma	Uterine Dedifferentiated Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Endometrioid Carcinoma	Uterine Endometrioid Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Mesonephric Carcinoma	Uterine Mesonephric Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Mixed Endometrial Carcinoma	Uterine Mixed Endometrial Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Mucinous Carcinoma	Uterine Mucinous Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Neuroendocrine Carcinoma	Uterine Neuroendocrine Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	Uterine Papillary Serous Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Serous Carcinoma	Uterine Serous Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Endometrial Carcinoma/Uterine Undifferentiated Carcinoma	Uterine Undifferentiated Carcinoma
Any cancer/Solid tumor/Uterine Cancer/Gestational Trophoblastic Disease/Choriocarcinoma	Choriocarcinoma
Any cancer/Solid tumor/Uterine Cancer/Gestational Trophoblastic Disease/Epithelioid Trophoblastic Tumor	Epithelioid Trophoblastic Tumor
Any cancer/Solid tumor/Uterine Cancer/Gestational Trophoblastic Disease	Gestational Trophoblastic Disease
Any cancer/Solid tumor/Uterine Cancer/Gestational Trophoblastic Disease/Molar Pregnancy/Complete Hydatidiform Mole	Complete Hydatidiform Mole
Any cancer/Solid tumor/Uterine Cancer/Gestational Trophoblastic Disease/Molar Pregnancy/Invasive Hydatidiform Mole	Invasive Hydatidiform Mole
Any cancer/Solid tumor/Uterine Cancer/Gestational Trophoblastic Disease/Molar Pregnancy	Molar Pregnancy
Any cancer/Solid tumor/Uterine Cancer/Gestational Trophoblastic Disease/Molar Pregnancy/Partial Hydatidiform Mole	Partial Hydatidiform Mole
Any cancer/Solid tumor/Uterine Cancer/Gestational Trophoblastic Disease/Placental Site Trophoblastic Tumor	Placental Site Trophoblastic Tumor
Any cancer/Solid tumor/Uterine Cancer/Other Uterine Tumor	Other Uterine Tumor
Any cancer/Solid tumor/Uterine Cancer	Uterine Cancer
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Endometrial Stromal Sarcoma	Endometrial Stromal Sarcoma
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Endometrial Stromal Sarcoma/High-Grade Endometrial Stromal Sarcoma	High-Grade Endometrial Stromal Sarcoma
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Endometrial Stromal Sarcoma/Low-Grade Endometrial Stromal Sarcoma	Low-Grade Endometrial Stromal Sarcoma
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal	Mesenchymal
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Undifferentiated Uterine Sarcoma	Undifferentiated Uterine Sarcoma
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Uterine Adenosarcoma	Uterine Adenosarcoma
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Uterine Perivascular Epithelioid Cell Tumor	Uterine Perivascular Epithelioid Cell Tumor
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Uterine Sarcoma, Other	Uterine Sarcoma, Other
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Uterine Smooth Muscle Tumor/Uterine Epithelioid Leiomyosarcoma	Uterine Epithelioid Leiomyosarcoma
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Uterine Smooth Muscle Tumor/Uterine Leiomyoma	Uterine Leiomyoma
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Uterine Smooth Muscle Tumor/Uterine Leiomyosarcoma	Uterine Leiomyosarcoma
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Uterine Smooth Muscle Tumor/Uterine Myxoid Leiomyosarcoma	Uterine Myxoid Leiomyosarcoma
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Uterine Smooth Muscle Tumor	Uterine Smooth Muscle Tumor
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma/Mesenchymal/Uterine Smooth Muscle Tumor/Uterine Smooth Muscle Tumor of Uncertain Malignant Potential	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential
Any cancer/Solid tumor/Uterine Cancer/Uterine Sarcoma	Uterine Sarcoma
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Germ Cell Tumor of the Vulva/Dysgerminoma	Dysgerminoma
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Germ Cell Tumor of the Vulva/Embryonal Carcinoma	Embryonal Carcinoma
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Germ Cell Tumor of the Vulva	Germ Cell Tumor of the Vulva
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Germ Cell Tumor of the Vulva/Immature Teratoma	Immature Teratoma
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Germ Cell Tumor of the Vulva/Mature Teratoma	Mature Teratoma
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Germ Cell Tumor of the Vulva/Mixed Germ Cell Tumor	Mixed Germ Cell Tumor
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Germ Cell Tumor of the Vulva/Polyembryoma	Polyembryoma
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Germ Cell Tumor of the Vulva/Yolk Sac Tumor	Yolk Sac Tumor
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Mucinous Adenocarcinoma of the Vulva	Mucinous Adenocarcinoma of the Vulva
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Mucinous Adenocarcinoma of the Vulva/Vagina	Vagina
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Mucosal Melanoma of the Vulva	Mucosal Melanoma of the Vulva
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Mucosal Melanoma of the Vulva/Vagina	Vagina
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Poorly Differentiated Vaginal Carcinoma	Poorly Differentiated Vaginal Carcinoma
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Squamous Cell Carcinoma of the Vulva	Squamous Cell Carcinoma of the Vulva
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Squamous Cell Carcinoma of the Vulva/Vagina	Vagina
Any cancer/Solid tumor/Vulvar-Vaginal Cancer/Vaginal Adenocarcinoma	Vaginal Adenocarcinoma
Any cancer/Solid tumor/Vulvar-Vaginal Cancer	Vulvar-Vaginal Cancer
